flame 불꽃
shape 모양
chest 가슴
chain 사슬
cost 비용
coast 해안
circle 원
heart 심장
nature 자연
fever 열
tongue 혀
trust 신용
whisker 구레나룻
prison 형무소
blood 피
loaf 빵덩어리
list 명부
fence 울타리
enemy 적
thief 도둑
data 자료
soldier 군인
musician 음악가
capital 수도
course 진로
diary 일기
squirrel 다람쥐
dawn 새벽
shadow 그림자
ditch 도랑
crew 승무원
stomach 위
neighbor 이웃사람
servant 하인
hunger 굶주림
tomb 묘
taste 맛
sign 신호
stair 계단
trip 여행
brain 뇌
trumpet 나팔
speech 말
thumb 엄지손가락
horn 뿔
chief 우두머리
trousers 바지
prince 왕자
force 힘
sight 광경
space 공간
wool 양모
expressway 고속도로
science 과학
examination 시험
jar 항아리
salt 소금
death 죽음
saw 톱
swing 그네
wish 소원
grain 곡식
eraser 지우개
alphabet 알파벳문자
shoulder 어깨
nephew 조카
niece 조카딸
library 도서관
giraffe 기린
hawk 매
pigeon 비둘기
bowl 사발
scene 장면
life 생명
earth 지구
pill 알약
math 수학
ocean 대양
price 값
row 줄
schedule 예정표
machine 기계
route 길
ivy 담쟁이덩굴
gift 선물
candle 양초
joke 농담
art 예술
corn 곡물
pet 애완동물
robber 강도
cheek 볼
clerk 사무원
cookie 쿠키
army 육군
nurse 간호사
master 주인
lock 자물쇠
moment 순간
sheet 시트
monk 승려
teenager 소년소녀
closet 벽장
handle 손잡이
guide 안내자
bar 막대기
ostrich 타조
knee 무릎
cricket 크리켓
deck 갑판
bit 작은 조각
silk 비단
jean 진 바지
cotton 솜
drum 북
sand 모래
shock 충격
march 행진
cage 새장
whole 전부
change 변화
department 부
office 사무실
ticket 표
energy 힘
idea 생각
hospital 병원
noise 소리
sample 견본
example 예
lesson 학과
plenty 풍부
luck 행운
comedy 희극
health 건강
history 역사
forest 숲
stream 흐름
future 미래
state 상태
temple 절
dictionary 사전
grammar 문법
college 단과대학
husband 남편
daughter 딸
captain 우두머리
booth 오두막집
iceberg 빙산
bubble 거품
bottom 밑
prize 상
bean 콩
race 경주
engineer 기사
photographer 사진사
reason 이유
subway 지하도
fog 안개
answer 대답
step 걸음
heat 열
bone 뼈
plant 식물
lamb 새끼냔
rate 비율
report 보고
turtle 바다거북
bay 만
holiday 휴일
center 중심
cash 현금
wolf 이리
operator 교환수
fur 부드러운털
shore 물가
owl 올빼미
hunter 사냥꾼
pumpkin 호박
handshake 악수
bike 자전거
beach 해안
god 신
cough 기침
shell 조개
business 사업
restaurant 식당
sheep 양
hometown 고향
coil 코일
ceiling 천장
turkey 칠면조
towel 수건
matter 일
chopstick 젓가락
seat 좌석
board 판자
goal 목표
drugstore 약국
rat 쥐
butterfly 나비
flute 플루트
couple
beer 맥주
background 배경
bottle 병
body 몸
group 집단
village 마을
beef 쇠고기
load 짐
coin 동전
bookstore 서점
label 꼬리표
port 항구
quarter 분의
sunrise 해돋이
sunshine 햇빛
wedding 결혼
crown 왕관
seed 씨
coal 석탄
comb 빗
dream 꿈
sugar 설탕
mile 마일
flashlight 플래시
vegetable 야채
mouse 생쥐
wood 나무
war 전쟁
ground 땅
belt 띠
tourist 여행자
airport 공항
passport 여권
plate 접시
stone 돌
downtown 번화가
cousin 사촌
tooth 이
potato 감자
blanket 담요
creek 시냇물
nail 손톱
letter 편지
date 날짜
store 가게
beggar 거지
bedside 침대곁
deer 사슴
bill 계산서
doll 인형
pepper 후추
frog 개구리
rest 휴식
tower 탑
bridge 다리
cloth 천
post 우편
snake 뱀
job 직업
town 읍
fun 놀이
bathroom 욕실
tail 꼬리
mayor 시장
piece 한 조각
fruit 과일
british 영국인
french 프랑스인
sale 판매
rope 밧줄
umbrella 우산
dollar 달러
mistake 잘못
birth 출생
pilot 조종사
none 아무도않다
front 정면
present 현재
nickname 별명
telephone 전화
pair 한쌍
weather 날씨
dish 접시
hole 구멍
plane 비행기
gun 총
meat 고기
cover 덮개
grass 풀
watch 손목시계
word 낱말
explain 설명하다
wear 입다
suppose 상상하다
leap 뛰다
bury 묻다
engage 고용하다
sow 씨를뿌리다
lift 들어올리다
bow 절하다
rub 비비다
bite 물다
vote 투표하다
hop 한발로뛰다
imagine 상상하다
allow 허락하다
offer 제공하다
gain 얻다
alarm 놀라게하다
obey 복종하다
steal 훔치다
dig 파다
choose 고르다
receive 받다
bet 돈을 걸다
burn 타다
sink 가라앉다
decide 결정하다
beg 구걸하다
reply 대답
tear 찢다
flow 흐르다
remember 기억하다
appear 나타나다
breathe 숨쉬다
draw 끌다
sound 소리가나다
save 구하다
continue 계속하다
check 저지하다
sail 항해하다
wake 깨다
agree 동의하다
hang 걸다
record 기록
drop 떨어지다
climb 기어오르다
add 더하다
hide 감추다
bring 가져오다
wink 눈을 깜박거리다
shoot 쏘다
roll 구르다
pull 잡아당기다
push 밀다
guess 추측하다
happen 일어나다
pick 고르다
shake 떨다
fill 채우다
fail 실패하다
fight 싸우다
fear 두려워하다
carry 나르다
dive 다이빙하다
win 이기다
ride 타다
turn 돌다
need 필요로 하다
build 짓다
hurry 서두르다
return 돌아가다
believe 믿다
surprise 놀라다
gather 모으다
throw 던지다
raise 올리다
count 세다
smell 냄새를맡다
spend 소비하다
pitch 던지다
pop 펑하고소리나다
blow 불다
miss 놓치다
excuse 용서하다
hit 치다
tie 매다
touch 닿다
stay 머무르다
enjoy 즐기다
lose 잃다
close 닫다
arrive 도착하다
travel 여행하다
reach 도착하다
hold 쥐다
worry 걱정하다
marry 결혼하다
expect 기대하다
understand 이해하다
become ~이되다
break 부수다
smoke 담배를피우다
lend 빌려주다
shut 닫다
sleep 자다
lay 눕히다
paint 그리다
lead 인도하다
pass 지나가다
hand 주다
ancient 고대의
nuclear 핵의
necessary 필요한
common 공통의
inner 안쪽의
thirsty 목마른
thin 얇은
gray 회색
famous 유명한
industrial 산업의
silent 조용한
absent 결석한
main 주요한
wild 야생의
wet 젖은
blind 눈먼
dumb 벙어리의
sharp 날카로운
terrible 끔직한
grand 웅장한
homesick 향수병의
bound ~로출발하려고하는
fat 살찐
strange 이상한
pleasant 기분좋은
handsome 잘생긴
equal 같은
dear 친애하는
sweet 달콤한
dull 우둔한
weak 약한
bright 밝은
honest 정직한
elder 손위의
such 그러한
able 유능한
loud 목소리가큰
simple 간단한
clever 영리한
proud 자랑스러운
foolish 어리석은
possible 가능한
enough 충분한
wise 현명한
wide 넓은
successful 성공한
